NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Mailing Address,Provider Second Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider Business Mailing Address Country Code (If outside U.S.),Provider Business Mailing Address Telephone Number,Provider Business Mailing Address Fax Number,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number,Provider Enumeration Date,Last Update Date,Authorized Official Last Name,Authorized Official First Name,Authorized Official Middle Name,Authorized Official Title or Position,Authorized Official Telephone Number,Healthcare Provider Taxonomy Code_1,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Healthcare Provider Taxonomy Code_2,Healthcare Provider Taxonomy Code_3,Healthcare Provider Taxonomy Code_4,Healthcare Provider Taxonomy Code_5,Healthcare Provider Taxonomy Code_6,Healthcare Provider Taxonomy Code_7,Healthcare Provider Taxonomy Code_8,Healthcare Provider Taxonomy Code_9,Healthcare Provider Taxonomy Code_10,Healthcare Provider Taxonomy Code_11,Healthcare Provider Taxonomy Code_12,Healthcare Provider Taxonomy Code_13,Healthcare Provider Taxonomy Code_14,Healthcare Provider Taxonomy Code_15,Other Provider Identifier_1,Other Provider Identifier Type Code_1,Other Provider Identifier State_1,Other Provider Identifier Issuer_1,Other Provider Identifier_2,Other Provider Identifier Type Code_2,Other Provider Identifier State_2,Other Provider Identifier Issuer_2,Other Provider Identifier_3,Other Provider Identifier Type Code_3,Other Provider Identifier State_3,Other Provider Identifier Issuer_3,Other Provider Identifier_4,Other Provider Identifier Type Code_4,Other Provider Identifier State_4,Other Provider Identifier Issuer_4,Other Provider Identifier_5,Other Provider Identifier Type Code_5,Other Provider Identifier State_5,Other Provider Identifier Issuer_5,Other Provider Identifier_6,Other Provider Identifier Type Code_6,Other Provider Identifier State_6,Other Provider Identifier Issuer_6,Other Provider Identifier_7,Other Provider Identifier Type Code_7,Other Provider Identifier State_7,Other Provider Identifier Issuer_7,Other Provider Identifier_8,Other Provider Identifier Type Code_8,Other Provider Identifier State_8,Other Provider Identifier Issuer_8,Other Provider Identifier_9,Other Provider Identifier Type Code_9,Other Provider Identifier State_9,Other Provider Identifier Issuer_9,Is Sole Proprietor,Is Organization Subpart,Parent Organization LBN,Parent Organization TIN,Authorized Official Name Prefix Text,Authorized Official Name Suffix Text,Authorized Official Credential Text,Healthcare Provider Taxonomy Group_1,Healthcare Provider Taxonomy Group_2,Certification Date
1336142413,2,"TEXAN AMBULATORY SURGERY CENTER, LP",,,7000 N MOPAC EXPRESSWAY,STE 120,AUSTIN,TX,787313030,US,5123420900,5123420808,7000 N MOPAC EXPRESSWAY,STE 120,AUSTIN,TX,787313030,5123420900,5123420808,5/23/2005,10/20/2023,BLACH,PETER,,OFFICER/AUTHORIZED OFFICIAL,7133430832,261QA1903X,7965,TX,Y,,,,,,,,,,,,,,,7965,1,TX,STATE ASC LICENSE NUMBER,879769,5,TX,,HH1519,1,TX,BLUE CROSS BLUE SHIELD,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,10/20/2023
1942205679,2,REVIVE PHYSICAL THERAPY INC,,,21122 STATE HIGHWAY 71 W,UNIT B,SPICEWOOD,TX,786696120,US,5122649981,5122649978,21122 STATE HIGHWAY 71 W,UNIT B,SPICEWOOD,TX,786696120,5122649981,5122649978,6/17/2005,8/22/2020,PLATT,NANCY,JANE,PRESIDENT,5122649981,261QP2000X,1105518,TX,Y,,,,,,,,,,,,,,,0011KM,1,TX,BCBS TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MS.,,RPT,,,
1932104577,2,CENTRAL AUSTIN AMBULATORY SURGERY CENTER L.P.,DBA CENTRAL PARK SURGERY CENTER,3,900 W 38TH ST,STE 200,AUSTIN,TX,787051129,US,5123232061,,900 W 38TH ST,STE 200,AUSTIN,TX,787051129,5123232061,,6/20/2005,7/21/2022,DAY,ERIC,,ADMINISTRATOR,5124395775,261QA1903X,,TX,N,261QA1903X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
1306845961,2,MOBILE X-RAY OF AUSTIN INC,HEALTH CARE IMAGING,3,3720 E LA SALLE ST STE 104,,PHOENIX,AZ,850403976,US,4809901335,4809901337,4131 SPICEWOOD SPRINGS RD STE N7,,AUSTIN,TX,787598664,5123428300,5123428508,7/17/2005,7/21/2022,AHMAD,AYAZ,,PRESIDENT,5123428300,293D00000X,,,N,335V00000X,,,,,,,,,,,,,,86072801,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,3/31/2020
1932108214,2,GONZALES HEALTHCARE SYSTEMS,MEMORIAL HOSPITAL,3,PO BOX 587,,GONZALES,TX,786290587,US,8306727581,8306722401,1110 N SARAH DEWITT DR,,GONZALES,TX,786293311,8306727581,8306722401,7/19/2005,2/26/2024,ANZALDUA,BRANDON,,CEO/ADMINISTRATOR,8306727581,282NR1301X,103,TX,Y,,,,,,,,,,,,,,,121785303,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,2/26/2024
1407855760,2,THE ORTHOPEDIC STORE,,,PO BOX 792590,,SAN ANTONIO,TX,782792590,US,5123029370,5123029370,8311 BURNET RD,,AUSTIN,TX,787577714,5123029370,5123029374,7/19/2005,8/22/2020,HARIG,JOHN,RANDOLPH,PRESIDENT/OWNER,2103662990,332B00000X,46447,TX,X,335E00000X,261QP2000X,261QR0400X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,
1013916287,2,GONZALES HEALTHCARE SYSTEMS,SIEVERS MEDICAL CLINIC,3,PO BOX 587,,GONZALES,TX,786290587,US,8306727581,8306722401,1110 N SARAH DEWITT DR,,GONZALES,TX,786293311,8306727581,8306722401,7/19/2005,2/26/2024,ANZALDUA,BRANDON,,CEO ADMINISTRATOR,8306727581,207Q00000X,130,TX,N,208000000X,261QR1300X,,,,,,,,,,,,,130781103,5,TX,,130781102,5,TX,,130781104,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,GONZALES HEALTHCARE SYSTEMS,<UNAVAIL>,MR.,,,193200000X MULTI-SPECIALTY GROUP,193200000X MULTI-SPECIALTY GROUP,2/26/2024
1760482939,2,NEURO INSTITUTE OF AUSTIN LP,TEXAS NEUROREHAB CENTER,3,1106 W DITTMAR RD,,AUSTIN,TX,787456328,US,5124444835,5124626636,1106 W DITTMAR RD,,AUSTIN,TX,787456328,5124444835,5124626636,7/28/2005,5/2/2022,FILTON,STEVE,,SRVP CFO,6107383300,282E00000X,622,TX,Y,283Q00000X,322D00000X,,,,,,,,,,,,,147227603,5,TX,,147227601,5,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MRS.,,,,,5/2/2022
1366442550,2,TEXAS OAKS PSYCHIATRIC HOSPITAL LP,AUSTIN OAKS HOSPITAL,3,1407 W STASSNEY LN,,AUSTIN,TX,787452947,US,5124640200,5124640484,1407 W STASSNEY LN,,AUSTIN,TX,787452947,5124640200,5124640484,7/28/2005,10/11/2022,FILTON,STEVE,,VICE PRESIDENT,6107683482,2084P0800X,,,N,283Q00000X,323P00000X,363LP0808X,,,,,,,,,,,,45002102,5,KY,,4101709,5,MT,,HS866PI,5,AK,,149376125,5,AR,,796055,5,AZ,,HH6643,1,TX,BLUE CROSS PROVIDER NUMBE,12237,5,IA,,00194338902001-01,5,PA,,6388570,5,NV,,,N,,,,,,193400000X MULTIPLE SINGLE SPECIALTY GROUP,,10/11/2022
1891796256,2,DOCTORS GENERAL LABORATORY,,,12501 HYMEADOW DR,SUITE 2B,AUSTIN,TX,787502263,US,5129960900,5126924596,12501 HYMEADOW DR,SUITE 2B,AUSTIN,TX,787502263,5129960900,5126924596,8/9/2005,5/22/2013,WEINER,DAVID,S,C.E.O.,5129960900,291U00000X,,,N,293D00000X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,MR.,,,,,
